name,accuracy,precision,recall,f1,roc_auc,pr_auc,pred_anomaly_rate
rf,0.8555831265508684,0.8724082934609251,0.13816620358676435,0.23855211513301353,0.5715393899681818,0.3110935327182237,0.025930521091811414
logreg,0.8114143920595533,0.3628480146052031,0.20080828492043445,0.25853658536585367,0.5651071946978812,0.31018887803800255,0.09061207609594707
svm_rbf,0.8557071960297766,0.8766025641025641,0.13816620358676435,0.23870826969234127,0.5706481894889708,0.3094534967144747,0.025806451612903226
mlp_torch,0.6907361455748553,0.2222573007103394,0.3556453649911594,0.2735574120847095,0.5699099402224265,0.30758522031991903,0.2619933829611249
